Season,Team Acquiring,Acquired Player,Team Losing,Acquisition Type,Acquiring GM,Losing GM,Year 2,Helper,AAV
2022,DET,Marvin Bagley III,SAC,Trade,Troy Weaver,Monte McNair,2023,2022Marvin Bagley III,12.5
2022,MIL,Serge Ibaka,LAC,Trade,Jon Horst,Michael Winger,2023,2022Serge Ibaka,9.7
2022,SAC,Donte DiVincenzo,MIL,Trade,Monte McNair,Jon Horst,2023,2022Donte DiVincenzo,4.7
2022,SAC,Josh Jackson,DET,Trade,Monte McNair,Troy Weaver,2023,2022Josh Jackson,5.9
2022,SAC,Trey Lyles,DET,Trade,Monte McNair,Troy Weaver,2023,2022Trey Lyles,2.5
2023,MEM,Danny Green,PHI,Trade,Zach Kleiman,Daryl Morey,2024,2023Danny Green,10
2023,PHI,De'Anthony Melton,MEM,Trade,Daryl Morey,Zach Kleiman,2024,2023De'Anthony Melton,8
2023,DAL,Christian Wood,HOU,Trade,Nico Harrison,Rafael Stone,2024,2023Christian Wood,14.3
2023,HOU,Sterling Brown,DAL,Trade,Rafael Stone,Nico Harrison,2024,2023Sterling Brown,2
2023,HOU,Trey Burke,DAL,Trade,Rafael Stone,Nico Harrison,2024,2023Trey Burke,2.4
2023,HOU,Marquese Chriss,DAL,Trade,Rafael Stone,Nico Harrison,2024,2023Marquese Chriss,2.2
2023,HOU,Boban Marjanović,DAL,Trade,Rafael Stone,Nico Harrison,2024,2023Boban Marjanović,3.5
2023,SAS,Goran Dragić,TOR,Trade,Brian Wright,Bobby Webster,2024,2023Goran Dragić,4.7
2023,IND,Kendall Brown,MIN,Trade,Chad Buchanan,Tim Connelly,2024,2023Kendall Brown,1
2023,MIL,Hugo Besson,IND,Trade,Jon Horst,Chad Buchanan,2024,2023Hugo Besson,N/A
2023,CHO,Bryce McGowens,MIN,Trade,Mitch Kupchak,Tim Connelly,2024,2023Bryce McGowens,1.7
2023,ATL,Dejounte Murray,SAS,Trade,Landry Fields,Brian Wright,2024,2023Dejounte Murray,16.5
2023,ATL,Jock Landale,SAS,Trade,Landry Fields,Brian Wright,2024,2023Jock Landale,1.5
2023,BRK,Royce O'Neale,UTA,Trade,Sean Marks,Justin Zanik,2024,2023Royce O'Neale,9.5
2023,ATL,Maurice Harkless,SAC,Trade,Landry Fields,Monte McNair,2024,2023Maurice Harkless,3
2023,ATL,Justin Holiday,SAC,Trade,Landry Fields,Monte McNair,2024,2023Justin Holiday,4
2023,SAC,Kevin Huerter,ATL,Trade,Monte McNair,Landry Fields,2024,2023Kevin Huerter,14.5
2023,DEN,Kentavious Caldwell-Pope,WAS,Trade,Calvin Booth,Will Dawkins,2024,2023Kentavious Caldwell-Pope,14
2023,DEN,Ish Smith,WAS,Trade,Calvin Booth,Will Dawkins,2024,2023Ish Smith,1.8
2023,WAS,Will Barton,DEN,Trade,Will Dawkins,Calvin Booth,2024,2023Will Barton,13.2
2023,WAS,Monté Morris,DEN,Trade,Will Dawkins,Calvin Booth,2024,2023Monté Morris,9.1
2023,DET,Kemba Walker,NYK,Trade,Troy Weaver,Scott Perry,2024,2023Kemba Walker,9.2
2023,DET,Alec Burks,NYK,Trade,Troy Weaver,Scott Perry,2024,2023Alec Burks,10.5
2023,DET,Nerlens Noel,NYK,Trade,Troy Weaver,Scott Perry,2024,2023Nerlens Noel,5
2023,LAL,Patrick Beverley,UTA,Trade,Rob Pelinka,Justin Zanik,2024,2023Patrick Beverley,13
2023,UTA,Talen Horton-Tucker,LAL,Trade,Justin Zanik,Rob Pelinka,2024,2023Talen Horton-Tucker,11
2023,UTA,Stanley Johnson,LAL,Trade,Justin Zanik,Rob Pelinka,2024,2023Stanley Johnson,1.6
2023,CLE,Donovan Mitchell,UTA,Trade,Koby Altman,Justin Zanik,2024,2023Donovan Mitchell,30.9
2023,UTA,Ochai Agbaji,CLE,Trade,Justin Zanik,Koby Altman,2024,2023Ochai Agbaji,3.9
2023,UTA,Lauri Markkanen,CLE,Trade,Justin Zanik,Koby Altman,2024,2023Lauri Markkanen,16.5
2023,UTA,Collin Sexton,CLE,Trade,Justin Zanik,Koby Altman,2024,2023Collin Sexton,17.3
2023,DET,Bojan Bogdanović,UTA,Trade,Troy Weaver,Justin Zanik,2024,2023Bojan Bogdanović,19.3
