Pk,Tm,Player,Year,Rookie Year,Sophomore Year,Third Year
43,HOU,Isaiah Hartenstein,2017,2018,2019,2020
44,NYK,Damyean Dotson,2017,2018,2019,2020
45,HOU,Dillon Brooks,2017,2018,2019,2020
46,PHI,Sterling Brown,2017,2018,2019,2020
47,IND,Ike Anigbogu,2017,2018,2019,2020
48,MIL,Sindarius Thornwell,2017,2018,2019,2020
49,DEN,Vlatko ÄanÄar,2017,2018,2019,2020
50,PHI,Mathias Lessort,2017,2018,2019,2020
51,DEN,Monte Morris,2017,2018,2019,2020
52,NOP,Edmond Sumner,2017,2018,2019,2020
53,BOS,Kadeem Allen,2017,2018,2019,2020
54,PHO,Alec Peters,2017,2018,2019,2020
55,UTA,Nigel Williams-Goss,2017,2018,2019,2020
56,BOS,Jabari Bird,2017,2018,2019,2020
57,BRK,Sasha Vezenkov,2017,2018,2019,2020
58,NYK,Ognjen Jaramaz,2017,2018,2019,2020
59,SAS,Jaron Blossomgame,2017,2018,2019,2020
60,ATL,Alpha Kaba,2017,2018,2019,2020
1,PHO,Deandre Ayton,2018,2019,2020,2021
2,SAC,Marvin Bagley III,2018,2019,2020,2021
3,ATL,Luka DonÄiÄ,2018,2019,2020,2021
4,MEM,Jaren Jackson Jr.,2018,2019,2020,2021
5,DAL,Trae Young,2018,2019,2020,2021
6,ORL,Mo Bamba,2018,2019,2020,2021
7,CHI,Wendell Carter Jr.,2018,2019,2020,2021
8,CLE,Collin Sexton,2018,2019,2020,2021
9,NYK,Kevin Knox,2018,2019,2020,2021
10,PHI,Mikal Bridges,2018,2019,2020,2021
11,CHO,Shai Gilgeous-Alexander,2018,2019,2020,2021
12,LAC,Miles Bridges,2018,2019,2020,2021
13,LAC,Jerome Robinson,2018,2019,2020,2021
14,DEN,Michael Porter Jr.,2018,2019,2020,2021
15,WAS,Troy Brown Jr.,2018,2019,2020,2021
16,PHO,Zhaire Smith,2018,2019,2020,2021
17,MIL,Donte DiVincenzo,2018,2019,2020,2021
18,SAS,Lonnie Walker IV,2018,2019,2020,2021
19,ATL,Kevin Huerter,2018,2019,2020,2021
20,MIN,Josh Okogie,2018,2019,2020,2021
21,UTA,Grayson Allen,2018,2019,2020,2021
22,CHI,Chandler Hutchison,2018,2019,2020,2021
23,IND,Aaron Holiday,2018,2019,2020,2021
24,POR,Anfernee Simons,2018,2019,2020,2021
25,LAL,Moritz Wagner,2018,2019,2020,2021
26,PHI,Landry Shamet,2018,2019,2020,2021
27,BOS,Robert Williams,2018,2019,2020,2021
28,GSW,Jacob Evans,2018,2019,2020,2021
29,BRK,DÅ¾anan Musa,2018,2019,2020,2021
30,ATL,Omari Spellman,2018,2019,2020,2021
,,Round 2,2018,2019,2020,2021
Pk,Tm,Player,2018,2019,2020,2021
31,PHO,Elie Okobo,2018,2019,2020,2021
32,MEM,Jevon Carter,2018,2019,2020,2021
33,DAL,Jalen Brunson,2018,2019,2020,2021
34,ATL,Devonte' Graham,2018,2019,2020,2021
35,ORL,Melvin Frazier,2018,2019,2020,2021
36,NYK,Mitchell Robinson,2018,2019,2020,2021
37,SAC,Gary Trent Jr.,2018,2019,2020,2021
38,PHI,Khyri Thomas,2018,2019,2020,2021
39,PHI,Isaac Bonga,2018,2019,2020,2021
40,BRK,Rodions Kurucs,2018,2019,2020,2021
41,ORL,Jarred Vanderbilt,2018,2019,2020,2021
42,DET,Bruce Brown,2018,2019,2020,2021
43,DEN,Justin Jackson,2018,2019,2020,2021
44,WAS,Issuf Sanon,2018,2019,2020,2021
45,BRK,Hamidou Diallo,2018,2019,2020,2021
46,HOU,De'Anthony Melton,2018,2019,2020,2021
47,LAL,Svi Mykhailiuk,2018,2019,2020,2021
48,MIN,Keita Bates-Diop,2018,2019,2020,2021
49,SAS,Chimezie Metu,2018,2019,2020,2021
50,IND,Alize Johnson,2018,2019,2020,2021
51,NOP,Tony Carr,2018,2019,2020,2021
52,UTA,Vince Edwards,2018,2019,2020,2021
53,OKC,Devon Hall,2018,2019,2020,2021
54,DAL,Shake Milton,2018,2019,2020,2021
55,CHO,Arnoldas Kulboka,2018,2019,2020,2021
56,PHI,Ray Spalding,2018,2019,2020,2021
57,OKC,Kevin Hervey,2018,2019,2020,2021
